animal,Common_Name,Family,Family_Common,Alternatives and notes,selector_caption,Selector_Caption
Aethia_cristatella,Crested Auklet,Alcidae,Alcidae (Auks/ Alcids),,Aethia cristatella (crested auklet),Aethia cristatella (Crested Auklet)
Aethia_psittacula,Parakeet Auklet,Alcidae,Alcidae (Auks/ Alcids),,Aethia psittacula (parakeet auklet),Aethia psittacula (Parakeet Auklet)
Aethia_pusilla,Least Auklet,Alcidae,Alcidae (Auks/ Alcids),,Aethia pusilla (least auklet),Aethia pusilla (Least Auklet)
Aethia_pygmaea,Whiskered Auklet,Alcidae,Alcidae (Auks/ Alcids),,Aethia pygmaea (whiskered auklet),Aethia pygmaea (Whiskered Auklet)
Alca_torda,Razorbill,Alcidae,Alcidae (Auks/ Alcids),,Alca torda (razorbill),Alca torda (Razorbill)
Alle_alle,Dovekie,Alcidae,Alcidae (Auks/ Alcids),,Alle alle (dovekie),Alle alle (Dovekie)
Brachyramphus_brevirostris,Kittlitz's Murrelet,Alcidae,Alcidae (Auks/ Alcids),,Brachyramphus brevirostris (Kittlitz's murrelet),Brachyramphus brevirostris (Kittlitz's Murrelet)
Brachyramphus_marmoratus,Marbled Murrelet,Alcidae,Alcidae (Auks/ Alcids),,Brachyramphus marmoratus (marbled murrelet),Brachyramphus marmoratus (Marbled Murrelet)
Brachyramphus_perdix,Long-billed Murrelet,Alcidae,Alcidae (Auks/ Alcids),,Brachyramphus perdix (long-billed murrelet),Brachyramphus perdix (Long-billed Murrelet)
Cepphus_carbo,Spectacled Guillemot,Alcidae,Alcidae (Auks/ Alcids),,Cepphus carbo (spectacled guillemot),Cepphus carbo (Spectacled Guillemot)
Cepphus_columba,Pigeon Guillemot,Alcidae,Alcidae (Auks/ Alcids),,Cepphus columba (pigeon guillemot),Cepphus columba (Pigeon Guillemot)
Cepphus_grylle,Black Guillemot,Alcidae,Alcidae (Auks/ Alcids),,Cepphus grylle (black guillemot),Cepphus grylle (Black Guillemot)
Cerorhinca_monocerata,Rhinoceros Auklet,Alcidae,Alcidae (Auks/ Alcids),,Cerorhinca monocerata (rhinoceros auklet),Cerorhinca monocerata (Rhinoceros Auklet)
Fratercula_arctica,Atlantic Puffin,Alcidae,Alcidae (Auks/ Alcids),,Fratercula arctica (atlantic puffin),Fratercula arctica (Atlantic Puffin)
Fratercula_cirrhata,Tufted Puffin,Alcidae,Alcidae (Auks/ Alcids),,Fratercula cirrhata (tufted puffin),Fratercula cirrhata (Tufted Puffin)
Fratercula_corniculata,Horned Puffin,Alcidae,Alcidae (Auks/ Alcids),,Fratercula corniculata (horned puffin),Fratercula corniculata (Horned Puffin)
Pinguinus_impennis,Great Auk,Alcidae,Alcidae (Auks/ Alcids),Great auk!!! Extinct mid 19th centuary,Pinguinus impennis (great auk),Pinguinus impennis (Great Auk)
Ptychoramphus_aleuticus,Cassin's Auklet,Alcidae,Alcidae (Auks/ Alcids),,Ptychoramphus aleuticus (Cassin's auklet),Ptychoramphus aleuticus (Cassin's Auklet)
Synthliboramphus_antiquus,Ancient Murrelet,Alcidae,Alcidae (Auks/ Alcids),,Synthliboramphus antiquus (ancient murrelet),Synthliboramphus antiquus (Ancient Murrelet)
Synthliboramphus_craveri,Craveri's Murrelet,Alcidae,Alcidae (Auks/ Alcids),,Synthliboramphus craveri (Craveri's murrelet),Synthliboramphus craveri (Craveri's Murrelet)
Synthliboramphus_hypoleucus,Guadalupe Murrelet,Alcidae,Alcidae (Auks/ Alcids),,Synthliboramphus hypoleucus (Guadalupe murrelet),Synthliboramphus hypoleucus (Guadalupe Murrelet)
Synthliboramphus_wumizusume,Crested Murrelet,Alcidae,Alcidae (Auks/ Alcids),,Synthliboramphus wumizusume (crested murrelet),Synthliboramphus wumizusume (Crested Murrelet)
Uria_aalge,Common Murre,Alcidae,Alcidae (Auks/ Alcids),,Uria aalge (common murre),Uria aalge (Common Murre)
Uria_lomvia,Brünnich's Guillemot,Alcidae,Alcidae (Auks/ Alcids),,Uria lomvia (Brunnich's guillemot),Uria lomvia (Brunnich's Guillemot)
Diomedea_amsterdamensis,Amsterdam Island Albatross,Diomedeidae,Diomedeidae (Albatrosses),,Diomedea amsterdamensis (Amsterdam Island albatross),Diomedea amsterdamensis (Amsterdam Island Albatross)
Diomedea_antipodensis,Antipodean Albatross,Diomedeidae,Diomedeidae (Albatrosses),,Diomedea antipodensis (Antipodean albatross),Diomedea antipodensis (Antipodean Albatross)
Diomedea_dabbenena,Tristan Albatross,Diomedeidae,Diomedeidae (Albatrosses),,Diomedea dabbenena (Tristan albatross),Diomedea dabbenena (Tristan Albatross)
Diomedea_epomophora,Royal Albatross,Diomedeidae,Diomedeidae (Albatrosses),,Diomedea epomophora (royal albatross),Diomedea epomophora (Royal Albatross)
Diomedea_exulans,Wandering Albatross,Diomedeidae,Diomedeidae (Albatrosses),,Diomedea exulans (wandering albatross),Diomedea exulans (Wandering Albatross)
Diomedea_sanfordi,Northern Royal Albatross,Diomedeidae,Diomedeidae (Albatrosses),,Diomedea sanfordi (northern royal albatross),Diomedea sanfordi (Northern Royal Albatross)
Phoebastria_albatrus,Short-tailed Albatross,Diomedeidae,Diomedeidae (Albatrosses),,Phoebastria albatrus (short-tailed albatross),Phoebastria albatrus (Short-tailed Albatross)
Phoebastria_immutabilis,Laysan Albatross,Diomedeidae,Diomedeidae (Albatrosses),,Phoebastria immutabilis (Laysan albatross),Phoebastria immutabilis (Laysan Albatross)
Phoebastria_irrorata,Waved Albatross,Diomedeidae,Diomedeidae (Albatrosses),,Phoebastria irrorata (waved albatross),Phoebastria irrorata (Waved Albatross)
Phoebastria_nigripes,Black-footed Albatross,Diomedeidae,Diomedeidae (Albatrosses),,Phoebastria nigripes (black-footed albatross),Phoebastria nigripes (Black-footed Albatross)
Phoebetria_fusca,Sooty Albatross,Diomedeidae,Diomedeidae (Albatrosses),,Phoebetria fusca (sooty albatross),Phoebetria fusca (Sooty Albatross)
Phoebetria_palpebrata,Light-mantled Albatross,Diomedeidae,Diomedeidae (Albatrosses),,Phoebetria palpebrata (light-mantled albatross),Phoebetria palpebrata (Light-mantled Albatross)
Thalassarche_bulleri,Buller's Mollymawk,Diomedeidae,Diomedeidae (Albatrosses),,Thalassarche bulleri (Buller's mollymawk),Thalassarche bulleri (Buller's Mollymawk)
Thalassarche_carteri,Indian Yellow-nosed Albatross,Diomedeidae,Diomedeidae (Albatrosses),,Thalassarche carteri (Indian yellow-nosed albatross),Thalassarche carteri (Indian Yellow-nosed Albatross)
Thalassarche_cauta,Shy Albatross,Diomedeidae,Diomedeidae (Albatrosses),,Thalassarche cauta (shy albatross),Thalassarche cauta (Shy Albatross)
Thalassarche_chlororhynchos,Atlantic Yellow-nosed Albatross,Diomedeidae,Diomedeidae (Albatrosses),,Thalassarche chlororhynchos (Atlantic yellow-nosed albatross),Thalassarche chlororhynchos (Atlantic Yellow-nosed Albatross)
Thalassarche_chrysostoma,Grey-headed Albatross,Diomedeidae,Diomedeidae (Albatrosses),,Thalassarche chrysostoma (grey-headed albatross),Thalassarche chrysostoma (Grey-headed Albatross)
Thalassarche_eremita,Chatham Albatross,Diomedeidae,Diomedeidae (Albatrosses),,Thalassarche eremita (Chatham albatross),Thalassarche eremita (Chatham Albatross)
Thalassarche_impavida,Campbell Albatross,Diomedeidae,Diomedeidae (Albatrosses),,Thalassarche impavida (Campbell albatross),Thalassarche impavida (Campbell Albatross)
Thalassarche_melanophrys,Black-browed Albatross,Diomedeidae,Diomedeidae (Albatrosses),,Thalassarche melanophrys (black-browed albatross),Thalassarche melanophrys (Black-browed Albatross)
Thalassarche_salvini,Salvin's Albatross,Diomedeidae,Diomedeidae (Albatrosses),,Thalassarche salvini (Salvin's albatross),Thalassarche salvini (Salvin's Albatross)
Thalassarche_steadi,White-capped Albatross,Diomedeidae,Diomedeidae (Albatrosses),,Thalassarche steadi (white-capped albatross),Thalassarche steadi (White-capped Albatross)
Fregata_andrewsi,Andrews' Frigatebird,Fregatidae,Fregatidae (Frigatebirds),,Fregata andrewsi (Andrews' frigatebird),Fregata andrewsi (Andrews' Frigatebird)
Fregata_aquila,Ascension Frigatebird,Fregatidae,Fregatidae (Frigatebirds),,Fregata aquila (Ascension frigatebird),Fregata aquila (Ascension Frigatebird)
Fregata_ariel,Lesser Frigatebird,Fregatidae,Fregatidae (Frigatebirds),,Fregata ariel (lesser frigatebird),Fregata ariel (Lesser Frigatebird)
Fregata_magnificens,Magnificent Frigatebird,Fregatidae,Fregatidae (Frigatebirds),,Fregata magnificens (magnificent frigatebird),Fregata magnificens (Magnificent Frigatebird)
Fregata_minor,Great Frigatebird,Fregatidae,Fregatidae (Frigatebirds),,Fregata minor (great frigatebird),Fregata minor (Great Frigatebird)
Halocyptena_microsoma,Least Storm Petrel,Hydrobatidae,Hydrobatidae (Northern Storm Petrels),,Halocyptena microsoma (least storm petrel),Halocyptena microsoma (Least Storm Petrel)
Hydrobates_pelagicus,European Storm Petrel,Hydrobatidae,Hydrobatidae (Northern Storm Petrels),,Hydrobates pelagicus (European storm petrel),Hydrobates pelagicus (European Storm Petrel)
Oceanodroma_castro,Band-rumped Storm Petrel,Hydrobatidae,Hydrobatidae (Northern Storm Petrels),Hydrobates castro,Oceanodroma castro (band-rumped storm petrel),Oceanodroma castro (Band-rumped Storm Petrel)
Oceanodroma_furcata,Fork-tailed Storm Petrel,Hydrobatidae,Hydrobatidae (Northern Storm Petrels),Hydrobates furcatus,Oceanodroma furcata (fork-tailed storm petrel),Oceanodroma furcata (Fork-tailed Storm Petrel)
Oceanodroma_homochroa,Ashy Storm Petrel,Hydrobatidae,Hydrobatidae (Northern Storm Petrels),Hydrobates homochroa,Oceanodroma homochroa (ashy storm petrel),Oceanodroma homochroa (Ashy Storm Petrel)
Oceanodroma_hornbyi,Hornby's Storm Petrel,Hydrobatidae,Hydrobatidae (Northern Storm Petrels),Hydrobates hornbyi,Oceanodroma hornbyi (Hornby's storm petrel),Oceanodroma hornbyi (Hornby's Storm Petrel)
Oceanodroma_leucorhoa,Leach's Storm Petrel,Hydrobatidae,Hydrobatidae (Northern Storm Petrels),Hydrobates leucorhous,Oceanodroma leucorhoa (Leach's storm petrel),Oceanodroma leucorhoa (Leach's Storm Petrel)
Oceanodroma_macrodactyla,Guadalupe Storm Petrel,Hydrobatidae,Hydrobatidae (Northern Storm Petrels),Hydrobates macrodactylus (Extinct),Oceanodroma macrodactyla (Guadalupe storm petrel),Oceanodroma macrodactyla (Guadalupe Storm Petrel)
Oceanodroma_markhami,Markham's Storm Petrel,Hydrobatidae,Hydrobatidae (Northern Storm Petrels),Hydrobates markhami,Oceanodroma markhami (Markham's storm petrel),Oceanodroma markhami (Markham's Storm Petrel)
Oceanodroma_matsudairae,Matsudaira's Storm Petrel,Hydrobatidae,Hydrobatidae (Northern Storm Petrels),Hydrobates matsudairae,Oceanodroma matsudairae (Matsudaira's storm petrel),Oceanodroma matsudairae (Matsudaira's Storm Petrel)
Oceanodroma_melania,Black Storm Petrel,Hydrobatidae,Hydrobatidae (Northern Storm Petrels),Hydrobates melania,Oceanodroma melania (black storm petrel),Oceanodroma melania (Black Storm Petrel)
Oceanodroma_monorhis,Swinhoe's Storm Petrel,Hydrobatidae,Hydrobatidae (Northern Storm Petrels),Hydrobates monorhis,Oceanodroma monorhis (Swinhoe's storm petrel),Oceanodroma monorhis (Swinhoe's Storm Petrel)
Oceanodroma_monteiroi,Monteiro's Storm Petrel,Hydrobatidae,Hydrobatidae (Northern Storm Petrels),Hydrobates monteiroi ,Oceanodroma monteiroi (Monteiro's storm petrel),Oceanodroma monteiroi (Monteiro's Storm Petrel)
Oceanodroma_tethys,Wedge-rumped Storm Petrel,Hydrobatidae,Hydrobatidae (Northern Storm Petrels),Hydrobates tethys,Oceanodroma tethys (wedge-rumped storm petrel),Oceanodroma tethys (Wedge-rumped Storm Petrel)
Oceanodroma_tristrami,Tristaram's Storm Petrel,Hydrobatidae,Hydrobatidae (Northern Storm Petrels),Hydrobates tristrami,Oceanodroma tristrami (Tristaram's storm petrel),Oceanodroma tristrami (Tristaram's Storm Petrel)
Anous_minutus,Black Noddy,Laridae,"Laridae (Gulls, Terns & Skimmers)",,Anous minutus (black noddy),Anous minutus (Black Noddy)
Anous_stolidus,Common Noddy,Laridae,"Laridae (Gulls, Terns & Skimmers)",,Anous stolidus (common noddy),Anous stolidus (Common Noddy)
Anous_tenuirostris,Lesser Noddy,Laridae,"Laridae (Gulls, Terns & Skimmers)",,Anous tenuirostris (lesser noddy),Anous tenuirostris (Lesser Noddy)
Chlidonias_niger,Black Tern,Laridae,"Laridae (Gulls, Terns & Skimmers)",,Chlidonias niger (black tern),Chlidonias niger (Black Tern)
Creagrus_furcatus,Swallow-tailed Gull,Laridae,"Laridae (Gulls, Terns & Skimmers)",,Creagrus furcatus (swallow-tailed gull),Creagrus furcatus (Swallow-tailed Gull)
Gygis_alba,Fairy Tern,Laridae,"Laridae (Gulls, Terns & Skimmers)",,Gygis alba (fairy tern),Gygis alba (Fairy Tern)
Gygis_microrhyncha,Little White-Tern,Laridae,"Laridae (Gulls, Terns & Skimmers)",,Gygis microrhyncha (little white-tern),Gygis microrhyncha (Little White-Tern)
Larosterna_inca,Inca Tern,Laridae,"Laridae (Gulls, Terns & Skimmers)",,Larosterna inca (Inca tern),Larosterna inca (Inca Tern)
Larus_argentatus,European Herring Gull,Laridae,"Laridae (Gulls, Terns & Skimmers)",,Larus argentatus (European herring gull),Larus argentatus (European Herring Gull)
Larus_atlanticus,Olrog's Gull,Laridae,"Laridae (Gulls, Terns & Skimmers)",,Larus atlanticus (Olrog's gull),Larus atlanticus (Olrog's Gull)
Larus_atricilla,Laughing Gull,Laridae,"Laridae (Gulls, Terns & Skimmers)",,Larus atricilla (laughing gull),Larus atricilla (Laughing Gull)
Larus_audouinii,Audouin's Gull,Laridae,"Laridae (Gulls, Terns & Skimmers)",,Larus audouinii (Audouin's gull),Larus audouinii (Audouin's Gull)
Larus_belcheri,Belcher's Gull,Laridae,"Laridae (Gulls, Terns & Skimmers)",,Larus belcheri (Belcher's gull),Larus belcheri (Belcher's Gull)
Larus_brunnicephalus,Brown-headed Gull,Laridae,"Laridae (Gulls, Terns & Skimmers)",,Larus brunnicephalus (brown-headed gull),Larus brunnicephalus (Brown-headed Gull)
Larus_cachinnans,Caspian Gull,Laridae,"Laridae (Gulls, Terns & Skimmers)",,Larus cachinnans (Caspian gull),Larus cachinnans (Caspian Gull)
Larus_californicus,California Gull,Laridae,"Laridae (Gulls, Terns & Skimmers)",,Larus californicus (California gull),Larus californicus (California Gull)
Larus_canus,Mew Gull,Laridae,"Laridae (Gulls, Terns & Skimmers)",,Larus canus (mew gull),Larus canus (Mew Gull)
Larus_cirrocephalus,Grey-headed Gull,Laridae,"Laridae (Gulls, Terns & Skimmers)",,Larus cirrocephalus (grey-headed gull),Larus cirrocephalus (Grey-headed Gull)
Larus_crassirostris,Black-tailed Gull,Laridae,"Laridae (Gulls, Terns & Skimmers)",,Larus crassirostris (black-tailed gull),Larus crassirostris (Black-tailed Gull)
Larus_delawarensis,Ring-billed Gull,Laridae,"Laridae (Gulls, Terns & Skimmers)",,Larus delawarensis (ring-billed gull),Larus delawarensis (Ring-billed Gull)
Larus_dominicanus,Kelp Gull,Laridae,"Laridae (Gulls, Terns & Skimmers)",,Larus dominicanus (kelp gull),Larus dominicanus (Kelp Gull)
Larus_fuliginosus,Lava Gull,Laridae,"Laridae (Gulls, Terns & Skimmers)",,Larus fuliginosus (lava gull),Larus fuliginosus (Lava Gull)
Larus_fuscus,Lesser Black-backed Gull,Laridae,"Laridae (Gulls, Terns & Skimmers)",,Larus fuscus (lesser black-backed gull),Larus fuscus (Lesser Black-backed Gull)
Larus_genei,Slender-billed Gull,Laridae,"Laridae (Gulls, Terns & Skimmers)",,Larus genei (slender-billed gull),Larus genei (Slender-billed Gull)
Larus_glaucescens,Glaucous-winged Gull,Laridae,"Laridae (Gulls, Terns & Skimmers)",,Larus glaucescens (glaucous-winged gull),Larus glaucescens (Glaucous-winged Gull)
Larus_glaucoides,Iceland Gull,Laridae,"Laridae (Gulls, Terns & Skimmers)",,Larus glaucoides (Iceland gull),Larus glaucoides (Iceland Gull)
Larus_hartlaubii,Hartlaub's Gull,Laridae,"Laridae (Gulls, Terns & Skimmers)",,Larus hartlaubii (Hartlaub's gull),Larus hartlaubii (Hartlaub's Gull)
Larus_heermanni,Heermann's Gull,Laridae,"Laridae (Gulls, Terns & Skimmers)",,Larus heermanni (Heermann's gull),Larus heermanni (Heermann's Gull)
Larus_hemprichii,Sooty Gull,Laridae,"Laridae (Gulls, Terns & Skimmers)",,Larus hemprichii (sooty gull),Larus hemprichii (Sooty Gull)
Larus_hyperboreus,Glaucous Gull,Laridae,"Laridae (Gulls, Terns & Skimmers)",,Larus hyperboreus (glaucous gull),Larus hyperboreus (Glaucous Gull)
Larus_ichthyaetus,Pallas's Gull,Laridae,"Laridae (Gulls, Terns & Skimmers)",,Larus ichthyaetus (Pallas's gull),Larus ichthyaetus (Pallas's Gull)
Larus_leucophthalmus,White-eyed Gull,Laridae,"Laridae (Gulls, Terns & Skimmers)",,Larus leucophthalmus (white-eyed gull),Larus leucophthalmus (White-eyed Gull)
Larus_livens,Yellow-footed Gull,Laridae,"Laridae (Gulls, Terns & Skimmers)",,Larus livens (yellow-footed gull),Larus livens (Yellow-footed Gull)
Larus_maculipennis,Brown-hooded Gull,Laridae,"Laridae (Gulls, Terns & Skimmers)",,Larus maculipennis (brown-hooded gull),Larus maculipennis (Brown-hooded Gull)
Larus_marinus,Greater Black-backed Gull,Laridae,"Laridae (Gulls, Terns & Skimmers)",,Larus marinus (greater black-backed gull),Larus marinus (Greater Black-backed Gull)
Larus_melanocephalus,Mediterranean Gull,Laridae,"Laridae (Gulls, Terns & Skimmers)",,Larus melanocephalus (Mediterranean gull),Larus melanocephalus (Mediterranean Gull)
Larus_michahellis,Yellow-legged Gull,Laridae,"Laridae (Gulls, Terns & Skimmers)",,Larus michahellis (yellow-legged gull),Larus michahellis (Yellow-legged Gull)
Larus_minutus,Little Gull,Laridae,"Laridae (Gulls, Terns & Skimmers)",Hydrocoloeus minutus,Larus minutus (little gull),Larus minutus (Little Gull)
Larus_modestus,Gray Gull,Laridae,"Laridae (Gulls, Terns & Skimmers)",,Larus modestus (gray gull),Larus modestus (Gray Gull)
Larus_novaehollandiae,Silver Gull,Laridae,"Laridae (Gulls, Terns & Skimmers)",,Larus novaehollandiae (silver gull),Larus novaehollandiae (Silver Gull)
Larus_occidentalis,Western Gull,Laridae,"Laridae (Gulls, Terns & Skimmers)",,Larus occidentalis (western gull),Larus occidentalis (Western Gull)
Larus_pacificus,Pacific Gull,Laridae,"Laridae (Gulls, Terns & Skimmers)",,Larus pacificus (Pacific gull),Larus pacificus (Pacific Gull)
Larus_philadelphia,Bonaparte's Gull,Laridae,"Laridae (Gulls, Terns & Skimmers)",,Larus philadelphia (Bonaparte's gull),Larus philadelphia (Bonaparte's Gull)
Larus_pipixcan,Franklin's Gull,Laridae,"Laridae (Gulls, Terns & Skimmers)",,Larus pipixcan (Franklin's gull),Larus pipixcan (Franklin's Gull)
Larus_ridibundus,Common Black-headed Gull,Laridae,"Laridae (Gulls, Terns & Skimmers)",,Larus ridibundus (common black-headed gull),Larus ridibundus (Common Black-headed Gull)
